A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
81338218,ΚΑΡΑΘΕΟΔΩΡΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ,ΠΡΟΥΣΗΣ 2,12242 ΑΙΓΑΛΕΩ,-,-,-,-,"157.085,05","147.062,38","304.147,43",.,"(37.9902906, 23.6867608)"
94217599,ΘΕΟΔΩΡΟΣ Π ΜΑΡΓΑΡΗΣ ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΚΑΙ ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΔΕΛΗΓΙΑΝΝΗ  ΚΑΙ  ΠΑΤΡΩΝ 50,27100 ΠΥΡΓΟΣ,"241.601,72",-,"62.454,81","304.056,53",-,-,-,.,"(37.6753462, 21.4341433)"
97670050,ΚΛΗΡΟΝΟΜΟΙ ΜΙΧΑΛΗ ΔΡΑΓΑΣΗ,ΝΙΚΗΣ 44,10558 ΑΘΗΝΑ,"173.608,94",-,"130.335,97","303.944,91",-,-,-,.,"(37.9733108, 23.7328721)"
94509222,ΤUBI ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝ,ΛΕΥΚΑΔΟΣ 12,18346 ΜΟΣΧΑΤΟ,-,-,-,-,"189.856,80","114.080,54","303.937,34",.,"(37.9620343, 23.6936892)"
800418302,EL FASHION ΕΜΠΟΡΙΑ ΕΤΟΙΜΩΝ ΕΝΔΥΜΑΤΩΝ ΥΠΟΔΗΜΑΤΩΝ ΚΑΙ ΑΞΕΣΟΥΑΡ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΙΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,ΜΗΤΡΟΠΟΛΕΩΣ 67,54622 ΘΕΣΣΑΛΟΝΙΚΗ,"215.664,51",-,"88.203,61","303.868,12",-,-,-,.,"(40.63137520000001, 22.9442027)"
82004580,ΔΙΑΜΑΝΤΗ ΕΥΑΓΓΕΛΙΑ-ΣΙΑ,ΚΑΔΡΑΜΙΤΣΙΑ 0,45500 ΚΑΡΔΑΜΙΤΣΙΑ ΙΩΑΝΝΙΝΩΝ,"210.096,51",-,"93.751,81","303.848,32",-,-,-,.,"(39.680691, 20.8218392)"
800810060,SOUTHERN PLASTICS ΒΙΟΜΗΧΑΝΙΑ ΠΛΑΣΤΙΚΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΙΩΑΝΝΗ ΝΙΚΑ 15,13673 ΑΧΑΡΝΕΣ,"248.348,08",-,"55.405,45","303.753,53",-,-,-,.,"(38.0624042, 23.7433407)"
998070404,ΙΩΑΝΝΗΣ ΜΠΟΥΡΓΟΣ ΚΑΙ ΣΙΑ ΟΕ,ΘΕΜΙΣΤΟΚΛΕΟΥΣ 16,57008 ΔΙΑΒΑΤΑ,"211.114,08",-,"92.576,55","303.690,63",-,-,-,.,"(40.6897113, 22.8579046)"
94038075,ΞΕΝΟΔΟΧΙΑΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΡΤΕ,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ 1,22100 ΤΡΙΠΟΛΗ,-,-,-,-,"209.690,09","93.828,35","303.518,44",.,"(37.5130773, 22.3749795)"
94357142,ΚΑΡΑΤΖΑΣ ΑΕΒΕ,ΟΡΕΣΤΙΑΔΟΣ 27,52100 ΚΑΣΤΟΡΙΑ,"102.872,80","162.220,72","38.386,90","303.480,42",-,-,-,.,"(40.5146532, 21.2697123)"
800337090,ΚΟΥΡΑΚΟΣ Α ΣΙΑ ΕΕ,ΒΑΡΝΑΛΗ 7,18863 ΠΕΡΑΜΑ,"156.369,77",-,"147.106,10","303.475,87",-,-,-,.,"(37.96452, 23.5679726)"
801236203,MAG EXECUTIVE ΜΟΝΟΠΡΟΣΩΠΗ Ι Κ Ε,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 71,70007 ΜΑΛΙΑ,"240.095,47",-,"63.368,85","303.464,32",-,-,-,.,"(35.2838743, 25.4593314)"
99523440,ΕΞΟΠΛΙΣΜΟΙ ΕΠΑΓΓΕΛΜΑΤΙΚΩΝ ΧΩΡΩΝ-ΗΛΕΚΤΡΙΚΑ ΕΙΔΗ ΑΝΤΙΠΡΟΣΩΠΕΙΕΣ-D.M. OFFICE AUTOMATION ΕΠΕ,ΚΟΝΩΝΟΣ 24-26,11634 ΑΘΗΝΑ,"170.563,92",-,"132.887,23","303.451,15",-,-,-,.,"(37.9694966, 23.7512739)"
999818690,ΙΩΑΝΝΗΣ ΣΚΑΜΝΑΚΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΤΣΙΚΑΛΑΡΙΑ ΘΕΣΗ ΜΑΜΟΥΝΙΑΝΑ 0,73200 ΣΟΥΔΑ,-,-,-,-,"167.755,00","135.558,49","303.313,49",.,"(35.4851174, 24.0547837)"
800115898,ΠΡΑΣΑΤΖΗ ΙΩΑΝΝΑ ΚΑΙ ΣΙΑ ΕΕ,ΑΜΜΟΛΟΦΟΙ 0,64007 Ν ΠΕΡΑΜΟΣ,"262.688,94",-,"40.524,01","303.212,95",-,-,-,.,"(40.81877, 24.3066896)"
800413590,ΑΛΟΗ ΒΕΡΑ ΕΛΛΑΣ  ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ ΟΔΟΣ Δ ΚΑΙ Θ 0,71601 ΝΕΑ ΑΛΙΚΑΡΝΑΣΣΟΣ,"235.864,84",-,"67.328,74","303.193,58",-,-,-,.,"(35.3152636, 25.176594)"
94413525,ΑΡΤΕ ΒΙΒΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑΣ ΤΑΠΗΤΩΝ,ΛΕΩΦ ΚΗΦΙΣΙΑΣ  244 ΚΑΙ ΑΧΙΛΛΕΩΣ 1,15231 ΧΑΛΑΝΔΡΙ,"207.357,67",-,"95.808,65","303.166,32",-,-,-,.,"(38.0155976, 23.7860009)"
99554962,ΠΝΓ ΓΕΡΟΛΥΜΑΤΟΣ ΥΓΕΙΑΣ ΚΑΙ ΟΜΟΡΦΙΑΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΣΚΛΗΠΙΟΥ 13,14568 ΚΡΥΟΝΕΡΙ,"213.769,28",-,"89.375,42","303.144,70",-,-,-,.,"(38.1371558, 23.8368737)"
999794902,Κ ΦΛΕΒΟΤΟΜΟΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΩΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΑΡΚΑΔΙΟΥ 1,12132 ΠΕΡΙΣΤΕΡΙ,"191.968,68","1.379,75","109.788,71","303.137,14",-,-,-,.,"(38.0156299, 23.6949052)"
800564090,ΚΩΝΣΤΑΝΤΙΝΟΣ ΚΟΚΚΙΝΟΠΛΙΤΗΣ ΜΟΝ,Μ ΜΠΟΤΣΑΡΗ 19Α,54643 ΘΕΣΣΑΛΟΝΙΚΗ,-,-,-,-,"196.939,52","106.111,19","303.050,71",.,"(40.6070617, 22.9547528)"
997883743,ΕΡΓΑΣΤΗΡΙΑ ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ ΝΕΟΥ ΚΟΣΜΟΥ ΕΠΕ,ΛΑΓΟΥΜΤΖΗ 61,11744 ΑΘΗΝΑ,"228.372,54",-,"74.613,20","302.985,74",-,-,-,.,"(37.9563668, 23.7244472)"
94322977,ΓΕΝΙΚΗ ΚΛΙΝΙΚΗ ΙΠΠΟΚΡΑΤΗΣ ΑΝΩΝ,ΙΦΙΤΟΥ 2,27100 ΠΥΡΓΟΣ,-,-,-,-,"173.973,00","128.972,50","302.945,50",.,"(37.6696251, 21.447582)"
94043141,ΜΑΡΜΑΡΑ ΔΕΣΠΟΤΟΠΟΥΛΟΣ ΒΙΟΤΕΧΝΙ,ΑΜΑΡΟΥΣΙΟΥ ΧΑΛΑΝΔΡ 9,15125 ΜΑΡΟΥΣΙ,-,-,-,-,"186.206,55","116.681,53","302.888,08",.,"(38.0413838, 23.8031774)"
998106233,NEXION TREND ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ,ΜΑΚΡΥΓΙΑΝΝΗ 108,18345 ΜΟΣΧΑΤΟ,-,-,-,-,"153.079,94","149.753,87","302.833,81",.,"(37.95413509999999, 23.6798139)"
95602291,PROMOTIONAL SERVICES ΕΠΕ,ΚΟΚΚΙΝΑΚΗ 3-5,11143 ΑΘΗΝΑ,"153.222,70",-,"149.602,78","302.825,48",-,-,-,.,"(38.0216979, 23.7322202)"
800683183,EMPORIO GALAKTOKOMIKON THESSALONIKIS SMPC ΕΜΠΟΡΙΟ ΓΑΛΑΚΤΟΚΟΜΙΚΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ ΜΙΚΕ,ΚΑΤΣΑΝΤΩΝΗ 8,54629 ΘΕΣΣΑΛΟΝΙΚΗ,"184.737,35",-,"118.061,32","302.798,67",-,-,-,.,"(40.6485759, 22.9246609)"
94407291,ΕΜΜ Γ ΣΑΡΙΤΣΑΜΗΣ ΑΝΩΝ ΕΜΠΟΡ ΞΕΝΟΔ ΤΟΥΡ ΒΙΟΤ ΕΤΑΙΡΕΙΑ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 94,71414 ΓΑΖΙ,"174.920,87",-,"127.866,96","302.787,83",-,-,-,.,"(35.32974859999999, 25.0818705)"
90121851,ΠΑΝΗΛΕΙΑΚΟΣ ΑΟ ΠΥΡΓΟΥ,ΚΟΛΟΚΟΤΡΩΝΗ 1,27100 ΠΥΡΓΟΣ,-,-,-,-,"161.637,01","141.076,98","302.713,99",.,"(37.6720485, 21.4394264)"
94537282,NASMANIA ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΙΑ ΓΡΑΦΙΚΩΝ ΤΕΧΝΩΝ ΚΑΙ ΑΝΑΒΑΘΜΙΣΕΩΣ ΑΥΤΟΚΙΝΗΤΩΝ  ΕΚΜΕΤ,ΕΥΑΝΔΡΟΥ 1,15772 ΖΩΓΡΑΦΟΥ,"150.594,51",-,"152.041,73","302.636,24",-,-,-,.,"(37.975362, 23.7723791)"
800771969,ΜΑΡΚΟΣ ΣΧΟΙΝΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙ,ΧΑΛΚΗΣ 30,57001 ΘΕΡΜΗ,-,-,-,-,"245.469,51","57.039,41","302.508,92",.,"(40.5628929, 22.9869031)"
997831691,T PASKO K DUKA ΟΕ,Φ ΔΕΔΕ 2,13674 ΑΧΑΡΝΕΣ,-,-,-,-,"171.386,48","130.912,68","302.299,16",.,"(38.0855964, 23.7450263)"
800323282,ΕΥΑΓΓΕΛΙΑ ΚΟΤΣΑΥΤΗ ΧΡΥΣΑΝΘΗ ΚΟ,ΚΕΡΑΜΕΙΚΟΥ 62-64,10551 ΑΘΗΝΑ,-,-,-,-,"190.487,85","111.683,89","302.171,74",.,"(37.98170940000001, 23.718613)"
997507866,ΜΑΡΙΑ ΛΙΟΚΟΥΚΟΥΔΑΚΗ ΕΠΙΧΕΙΡΗΣΕ,ΠΑΤΡ ΙΩΑΚΕΙΜ 56,10676 ΑΘΗΝΑ,-,-,-,-,"209.088,20","93.063,83","302.152,03",.,"(37.9783025, 23.745758)"
93459726,Γ ΠΑΠΑΝΙΚΟΛΑΟΥ ΚΑΙ ΣΙΑ ΕΕ,ΦΑΒΙΕΡΟΥ 21,34100 ΧΑΛΚΙΔΑ,"164.092,66",-,"138.048,24","302.140,90",-,-,-,.,"(38.4613248, 23.594693)"
999821970,ΠΕΡΡΥ ΑΛΒΑΡΟ  ΚΑΙ  ΣΙΩΖΙΟΥ ΜΑΡΙΑ Ο.Ε,ΞΑΝΘΟΥ 30,15451 Ν ΨΥΧΙΚΟ,"177.845,42",-,"124.285,16","302.130,58",-,-,-,.,"(38.0033627, 23.7900338)"
800543659,ΕΥΑΓΓΕΛΙΑ ΧΑΣΙΩΤΗ ΚΑΙ ΣΙΑ Ε Ε,ΒΑΡΝΑΛΗ 3,60100 ΚΑΤΕΡΙΝΗ,"175.039,63",-,"127.082,81","302.122,44",-,-,-,.,"(40.2721103, 22.5054782)"
82937700,ΠΕΡΠΕΡΑΣ ΠΕΡΙΚΛΗΣ ΚΑΙ ΣΙΑ ΟΕ,ΒΟΛΟΥ 136,41335 ΛΑΡΙΣΑ,"196.857,36",-,"105.246,09","302.103,45",-,-,-,.,"(39.6312639, 22.4460729)"
82943510,ΑΦΟΙ ΚΕΡΑΜΙΔΑ ΟΕ,ΣΕΛΕΥΚΙΔΩΝ 7,60100 ΚΑΤΕΡΙΝΗ,-,-,-,-,"175.680,00","126.422,48","302.102,48",.,"(40.2740849, 22.5225072)"
99872952,CASA EMPORIO ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,ΔΗΜ ΛΙΑΚΟΥ 14-16,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"233.745,08",-,"68.280,16","302.025,24",-,-,-,.,"(38.06376540000001, 23.5901014)"
99106065,ΕΥΣΤ ΣΙΣΜΑΝΙΔΗΣ ΑΝΘΗ ΣΙΣΜΑΝΙΔΟΥ ΟΕ,ΚΕΡΑΜΕΙΚΟΥ ΚΑΙ ΕΛΛΗΣΠΟΝΤΟΥ 46,18451 ΝΙΚΑΙΑ,"156.961,08",-,"144.999,78","301.960,86",-,-,-,.,"(37.9779056, 23.6369539)"
99287517,ΟΛΥΜΠΙΑ ΜΠΑΛΑΣΚΑ ΚΑΙ ΣΙΑ ΟΕ,ΙΛΙΑΔΟΣ ΚΑΙ ΕΚΦΑΝΤΙΔΟΥ 42,16232 ΒΥΡΩΝΑΣ,"187.383,46",-,"114.562,79","301.946,25",-,-,-,.,"(37.9644556, 23.7505546)"
999537829,Α ΙΟΡΔΑΝΙΔΗΣ Ο ΙΟΡΔΑΝΙΔΗΣ ΟΕ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ ΚΑΙ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ 0,63200 Ν ΜΟΥΔΑΝΙΑ,"213.141,37",-,"88.769,23","301.910,60",-,-,-,.,"(40.2513405, 23.2382086)"
94393767,ΙΔΙΩΤΙΚΟ ΔΙΑΓΝΩΣΤΙΚΟ ΕΡΓΑΣΤΗΡΙΟ ΑΝΑΛΥΤΙΚΗ ΙΑΤΡΙΚΗ ΑΕ,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ 107,11527 ΑΘΗΝΑ,"215.861,72",-,"85.992,44","301.854,16",-,-,-,.,"(37.9817003, 23.7597732)"
94523529,ΒΙΟΜΗΧΑΝΙΑ ΖΩΟΤΡΟΦΩΝ ΣΕΡΒΙΩΝ ΑΕ,2 ΧΙΛ ΣΕΡΒΙΩΝ  ΚΟΖΑΝΗΣ 0,50500 ΣΕΡΒΙΑ,"163.762,26",-,"138.015,98","301.778,24",-,-,-,.,"(40.29047970000001, 21.7889876)"
82315436,ΑΦΟΙ ΚΩΣΤΑΛΑ ΟΕ,25ΗΣ ΜΑΡΤΙΟΥ 15Α,15235 ΒΡΙΛΗΣΣΙΑ,"169.814,19",-,"131.962,25","301.776,44",-,-,-,.,"(38.0333776, 23.8257861)"
998775809,ΕΒΙΑΝΑ ΟΜΙΛΟΣ ΦΙΛΟΞΕΝΙΑΣ ΑΝΩΝΥΜΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΤΖΩΡΤΖ 6,10563 ΑΘΗΝΑ,"181.908,73",-,"119.840,92","301.749,65",-,-,-,.,"(37.9854644, 23.7316959)"
82576199,ΔΡΕΝΙΟΣ Π ΜΑΝΩΛΗΣ Β ΠΑΝΑΓΟΠΟΥΛΟΣ Δ ΟΕ,ΘΕΣΗ ΝΤΡΑΣΑΡΙΑ 0,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"158.368,73",-,"143.278,15","301.646,88",-,-,-,.,"(38.0609063, 23.5910603)"
800769102,DUMITRU VRABIE ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,ΠΥΛΑΡΙΝΟΥ 95,20100 ΚΟΡΙΝΘΟΣ,"233.514,26",-,"68.130,22","301.644,48",-,-,-,.,"(37.9418213, 22.9301531)"
99662807,ΣΚΟΡΔΑΚΗΣ ΙΩΑΝΝΗΣ ΤΕΚΕΡΛΕΚΗ ΣΟΦΙΑ Ο Ε,ΝΕΟ ΠΥΡΓΟΥ ΠΑΤΡΩΝ 0,27300 ΓΑΣΤΟΥΝΗ,"152.138,87",-,"149.489,48","301.628,35",-,-,-,.,"(37.8509191, 21.2543651)"
94422509,NEMEΣΙΣ ΕΚΔΟΤΙΚΕΣ ΚΑΙ ΕΜΠΟΡΙΚΕ,ΚΙΛΙΚΙΑΣ 18-20,11142 ΑΘΗΝΑ,-,-,-,-,"158.865,11","142.731,50","301.596,61",.,"(38.0249135, 23.7400092)"
94504865,ΔΥΟΦΙΛ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΕΠΕΝΔΥΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΚΑΡΟΡΗ 8,10551 ΑΘΗΝΑ,"154.237,96",-,"147.347,51","301.585,47",-,-,-,.,"(37.9775114, 23.7275236)"
800691670,KR ELECTRONICS ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑ,Λ ΜΕΣΟΓΕΙΩΝ 507,15342 ΑΓ ΠΑΡΑΣΚΕΥΗ,-,-,-,-,"250.632,74","50.739,24","301.371,98",.,"(38.0137197, 23.8325861)"
998430696,ΖΥΘΟΣ ΕΣΤΙΑΤΟΡΙΑ ΜΟΝΟΠΡΟΣΩΠΗ Ε,ΚΟΛΟΚΟΤΡΩΝΗ 8,15233 ΧΑΛΑΝΔΡΙ,-,-,-,-,"154.463,59","146.881,73","301.345,32",.,"(38.0230341, 23.7992182)"
94190085,ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ ΞΕΝΟΔΟΧΕΙΟ Η ΔΡΑΚΟΛΙΜΝΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΤΣΕΠΕΛΟΒΟ 0,44010 ΤΣΕΠΕΛΟΒΟ,"204.659,91",-,"96.568,68","301.228,59",-,-,-,.,"(39.9050285, 20.8208752)"
998050233,ΓΕΩΡΓΙΟΣ ΑΝΔΡ ΚΟΥΡΑΤΟΡΑΣ ΚΑΙ ΣΙΑ ΕΕ ΟΠΤΙΚΗ ΦΡΟΝΤΙΔΑ,ΜΥΡΩΝΟΣ 2,17456 ΑΛΙΜΟΣ,"197.793,35",-,"103.090,60","300.883,95",-,-,-,.,"(37.9183684, 23.7318302)"
997408342,ΠΗΓΑΔΑ ΕΣΤΙΑΣΗ ΕΕ,ΘΕΟΤΟΚΗ 2 ΚΑΙ ΣΑΧΤΟΥΡΗ 0,18537 ΠΕΙΡΑΙΑΣ,"247.351,94",-,"53.522,22","300.874,16",-,-,-,.,"(37.9391948, 23.6405054)"
999544280,ΑΦΟΙ ΒΡΕΤΤΟΥ ΟΕ,19 5 ΧΛΜ ΕΘΝΙΚΗΣ ΟΔΟΥ ΘΕΣ ΚΗΣ   ΚΑΒΑΛΑΣ 0,57200 ΛΑΓΚΑΔΑΣ,-,-,-,-,"162.065,96","138.600,88","300.666,84",.,"(40.7512099, 23.0695911)"
800646544,ΤΑΧΥΔΡΟΜΙΚΕΣ ΚΑΙ ΓΡΑΜΜΑΤΕΙΑΚΕΣ,ΓΟΥΝΑΡΗ 78,16674 ΓΛΥΦΑΔΑ,-,-,-,-,"224.186,31","76.433,31","300.619,62",.,"(37.8850529, 23.7619356)"
997752116,ΑΛΕΞΑΝΔΡΟΣ ΔΕΛΑΤΟΛΑΣ ΚΑΙ ΣΙΑ Ε,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ 302,17341 ΑΓ ΔΗΜΗΤΡΙΟΣ,-,-,-,-,"217.829,90","82.715,93","300.545,83",.,"(37.923109, 23.7229283)"
998083215,ΚΟΛΙΤΣΙΔΑΣ ΔΗΜΗΤΡΙΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,Μ ΦΙΛΙΝΤΑ 0,34600 Ν ΑΡΤΑΚΗ,"150.721,73",-,"149.810,04","300.531,77",-,-,-,.,"(38.5140471, 23.6340602)"
93866590,ΣΟΦΙΑΝΟΣ ΑΝ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑ ΕΙΣΑΓΩΓΗ ΠΑΡΚΕΤΩΝ ΞΥΛΕΙΑΣ,ΣΤΟ 17 ΧΛΜ ΕΟ ΑΘΗΝΩΝ ΛΑΜΙΑΣ ΕΠΙ ΤΗΣ ΟΔΟΥ ΠΑΤΡΩΝ 59,14564 ΚΗΦΙΣΙΑ,"231.288,78",-,"69.232,19","300.520,97",-,-,-,.,"(38.019349, 23.7238432)"
997994688,ΡΟΔΙ ΒΙΟΜΗΧΑΝΙΑ ΤΡΟΦΙΜΩΝ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ,ΒΙΠΕ ΔΡΟΣΙΑΣ 0,58002 ΑΡΝΙΣΣΑ,"183.217,58","1.630,78","115.664,51","300.512,87",-,-,-,.,"(40.7965158, 21.8355666)"
997621491,ΜΑΡΙΑ ΦΑΤΟΥΡΟΥ ΚΑΙ ΣΙΑ ΕΕ,ΑΘΗΝΑΣ 43-49Α,17673 ΚΑΛΛΙΘΕΑ,"150.688,86",-,"149.771,43","300.460,29",-,-,-,.,"(37.9472773, 23.6983324)"
998138600,ΛΟΥΙΖΑ ΔΑΜΙΑΝΙΔΗ ΚΑΙ ΣΙΑ ΕΤΑΙΡ,ΕΥΕΛΠΙΔΩΝ 81,11362 ΑΘΗΝΑ,-,-,-,-,"170.255,73","130.037,83","300.293,56",.,"(37.9965272, 23.742354)"
998146950,ΠΡΟΒΙΚ ΕΠΕ,ΣΩΝΙΕΡΟΥ 27 29 ΚΑΙ ΛΙΟΣΙΩΝ 19,10438 ΑΘΗΝΑ,"87.022,34","87.203,08","126.066,99","300.292,41",-,-,-,.,"(37.9887807, 23.7249942)"
82823001,Α ΣΑΡΟΓΛΟΥ ΕΕ,ΑΔΕΛΙΑΝΟΣ ΚΑΜΠΟΣ 0,74100 ΡΕΘΥΜΝΟ,-,-,-,-,"174.032,46","126.241,50","300.273,96",.,"(35.3720998, 24.5413992)"
99539725,ΙΩΑΝΝΗΣ ΝΙΤΣΑΣ ΚΑΙ ΣΙΑ ΕΕ,31Χ Λ ΜΑΡΑΘΩΝΟΣ ΑΓ ΜΑΡΙΝΑ 0,19005 Ν ΜΑΚΡΗ,-,-,-,-,"205.808,64","94.410,54","300.219,18",.,"(38.0780199, 23.9813731)"
99927710,ΙΩΑΝΝΗΣ ΠΑΠΑΧΡΙΣΤΟΠΟΥΛΟΣ ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΚΑΣΑΠΑΚΗ 10 ΚΑΙ ΟΙΚΟΝΟΜΙΔΗ 2,71601 ΝΕΑ ΑΛΙΚΑΡΝΑΣΣΟΣ,"184.344,68",-,"115.871,36","300.216,04",-,-,-,.,"(35.3137601, 25.149982)"
999488449,ΓΙΩΡΓΟΣ ΠΕΝΤΑΡΑΚΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΛΕΩΦ ΑΕΡΟΔΡΟΜΙΟΥ ΜΙΚΡΑΣ 17,57001 ΘΕΡΜΗ,"234.640,54",-,"65.434,20","300.074,74",-,-,-,.,"(40.522512, 23.0280768)"
95444180,ΕΛΛΗΝΙΚΗ ΤΕΧΝΟΛΟΓΙΑ ΜΟΝΟΠΡΟΣΩΠ,ΑΣΚΛΗΠΙΟΥ ΚΕΡΑΜΙΔΗ ΚΡΥΟΝΕΡΙΟΥ 30,14568 ΚΡΥΟΝΕΡΙ,-,-,-,-,"158.299,32","141.505,83","299.805,15",.,"(38.1390325, 23.8258531)"
998183890,ΓΕΩΡΓΙΟΣ ΣΑΚΕΛΛΑΡΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΚΡΕΑΤΩΝ,2ΑΣ ΜΕΡΑΡΧΙΑΣ 11,18535 ΠΕΙΡΑΙΑΣ,"154.330,96",-,"145.463,78","299.794,74",-,-,-,.,"(37.9412199, 23.6433334)"
95673820,ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ ΜΙΛΦΕΙΓ ΜΟΝΟΠΡΟ,Λ ΜΑΡΑΘΩΝΟΣ 33,14569 ΑΝΟΙΞΗ,-,-,-,-,"168.283,71","131.441,64","299.725,35",.,"(38.12857, 23.85694)"
800240870,Ν ΒΙΔΑΛΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΣΕΙΣΙ ΛΑΣΙΘΙΟΥ 0,72400 ΝΕΑΠΟΛΗ,"243.756,17",-,"55.877,40","299.633,57",-,-,-,.,"(35.3085456, 25.5207204)"
999607500,ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΕΙΑ ΣΤΑΤΙΣΤΙΚΩΝ ΚΑΙ ΟΙΚΟΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΜΕΣΣΗΝΗΣ 1  ΚΑΙ  ΛΕΩΦΟΡΟΣ ΒΟΥΛΙΑΓΜΕΝΗΣ 19,16675 ΓΛΥΦΑΔΑ,"156.493,32",-,"143.005,69","299.499,01",-,-,-,.,"(37.8854453, 23.7515785)"
82788473,ΑΦΟΙ ΚΡΑΤΟΥΝΑ ΟΕ,ΑΡΙΣΤΟΤΕΛΟΥΣ 10-12,17778 ΤΑΥΡΟΣ,"190.571,89",-,"108.905,84","299.477,73",-,-,-,.,"(37.9734145, 23.6981818)"
997984947,ΗΛΥΣΙΑΚΟΣ ΑΘΛΗΤΙΚΟΣ ΟΜΙΛΟΣ ΚΑΛ,ΞΗΡΟΓΙΑΝΝΗ 63-65,15771 ΖΩΓΡΑΦΟΥ,-,-,-,-,"230.821,16","68.634,95","299.456,11",.,"(37.9753042, 23.7656375)"
99483020,ΚΤΙΡΙΟΔΟΜΙΚΗ ΕΠΕ,5 ΧΙΛ ΤΡΙΚΑΛΩΝ ΠΥΛΗΣ 0,42100 ΤΡΙΚΑΛΑ,"175.469,35",-,"123.976,76","299.446,11",-,-,-,.,"(39.50385, 21.7914962)"
